#{"t_start": 1713296370.8827949, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
360.0,3613,988.788702
250.0,2975,991.669026
425.0,3381,995.00615
150.0,2071,997.078934
90.0,1067,998.10381
280.0,2485,1000.540158
415.0,3435,1003.913435
175.0,2023,1005.868047
190.0,1977,1013.272335
15.0,1347,1014.585993
260.0,2345,1016.898482
325.0,2547,1019.390105
190.0,2421,1021.732483
230.0,2323,1023.969543
45.0,1157,1025.131187
350.0,2703,1027.773355
215.0,1583,1029.266977
520.0,4539,1033.645999
145.0,1711,1035.277978
160.0,1641,1036.914652
155.0,1577,1038.453591
345.0,2559,1040.963966
295.0,2973,1043.85648
105.0,1413,1045.213341
155.0,1667,1046.853793
215.0,1979,1048.755988
150.0,1493,1050.184987
165.0,2711,1052.882971
225.0,2119,1054.974004
325.0,2693,1057.614965
80.0,1863,1059.385381
375.0,2909,1062.230634
265.0,1659,1063.840925
130.0,1067,1064.873749
200.0,1869,1066.641769
390.0,3499,1070.014848
170.0,1537,1071.462801
280.0,1823,1073.283877
240.0,2463,1075.647528
310.0,2217,1077.735976
130.0,1043,1078.735895
115.0,1591,1080.262654
255.0,2285,1082.487681
350.0,3009,1085.461099
135.0,1607,1086.980068
355.0,3081,1089.93332
280.0,2509,1092.366753
215.0,1481,1093.775555
425.0,2797,1096.407468
70.0,1049,1097.419885
170.0,1693,1099.118151
340.0,2435,1101.434936
285.0,2695,1104.078811
285.0,1743,1105.74777
360.0,2547,1108.178384
235.0,2015,1110.083639
195.0,1733,1119.250974
260.0,1977,1121.235975
155.0,1637,1122.836375
130.0,1999,1124.75251
220.0,1895,1126.537504
230.0,3323,1129.683244
470.0,2953,1132.505163
230.0,2183,1134.640292
205.0,2333,1136.886592
160.0,1439,1138.217727
160.0,1863,1139.986913
130.0,1747,1141.64085
385.0,2885,1144.449968
155.0,1387,1145.807138
330.0,2935,1148.594058
90.0,1253,1149.744672
125.0,1531,1151.229024
265.0,2283,1153.476022
215.0,1893,1155.302399
210.0,1897,1157.16755
515.0,3939,1161.098406
230.0,1953,1163.032712
260.0,2813,1165.792365
315.0,2811,1168.464718
200.0,1913,1170.308544
255.0,2453,1172.713493
115.0,1403,1174.071079
